Date,data$Gold,data$Bitcoin,data$SP500,data$Treasurybonds,data$Currency
7/1/2015,1095.10,283.70,2103.84,2.187,1.0347
8/1/2015,1132.50,229.50,1972.18,2.214,1.034
9/1/2015,1115.20,235.90,1920.03,2.035,1.027
10/1/2015,1141.40,311.20,2079.36,2.146,1.0116
11/1/2015,1065.30,378.00,2080.41,2.208,0.972
12/1/2015,1060.20,430.00,2043.94,2.269,0.9977
1/1/2016,1116.40,369.80,1940.24,1.923,0.9768
2/1/2016,1234.40,436.20,1932.23,1.738,1.001
3/1/2016,1235.60,415.70,2059.74,1.77,1.0391
4/1/2016,1290.50,448.50,2065.30,1.835,1.0418
5/1/2016,1217.50,528.90,2096.96,1.851,1.0062
6/1/2016,1320.60,670.00,2098.86,1.475,1.0243
7/1/2016,1357.50,621.90,2173.60,1.45,1.0311
8/1/2016,1311.40,573.90,2170.95,1.578,1.0158
9/1/2016,1317.10,608.10,2168.27,1.598,1.0291
10/1/2016,1273.10,698.70,2126.15,1.826,1.0108
11/1/2016,1173.90,742.50,2198.81,2.39,0.9825
12/1/2016,1151.70,963.40,2238.83,2.446,0.9814
1/1/2017,1211.40,965.50,2278.87,2.466,1.0106
2/1/2017,1253.90,1189.30,2363.64,2.397,0.994
3/1/2017,1251.20,1079.10,2362.72,2.389,0.9967
4/1/2017,1268.30,1351.90,2384.20,2.289,1.0046
5/1/2017,1275.40,2303.30,2411.80,2.206,1.0331
6/1/2017,1242.30,2480.60,2423.41,2.304,1.0433
7/1/2017,1273.40,2883.30,2470.30,2.296,1.034
8/1/2017,1322.20,4735.10,2471.65,2.121,1.043
9/1/2017,1284.80,4360.60,2519.36,2.339,1.0326
10/1/2017,1270.50,6451.20,2575.26,2.378,1.0021
11/1/2017,1276.70,9946.80,2647.58,2.415,1.0165
12/1/2017,1309.30,13850.40,2673.61,2.405,1.0263
1/1/2018,1343.10,10265.40,2823.81,2.713,1.0734
2/1/2018,1317.90,10333.90,2713.83,2.864,1.0584
3/1/2018,1327.30,6938.20,2640.87,2.741,1.0473
4/1/2018,1319.20,9245.10,2648.05,2.955,1.0091
5/1/2018,1304.70,7502.60,2705.27,2.86,1.0143
6/1/2018,1254.50,6398.90,2718.37,2.86,1.0089
7/1/2018,1233.60,7729.40,2816.29,2.962,1.0096
8/1/2018,1206.70,7033.80,2901.52,2.86,1.0319
9/1/2018,1196.20,6635.20,2913.98,3.065,1.018
10/1/2018,1215.00,6365.90,2711.74,3.149,0.9913
11/1/2018,1226.00,4039.70,2760.17,2.993,1.0009
12/1/2018,1281.30,3709.40,2506.85,2.686,1.0185
1/1/2019,1325.20,3437.20,2704.10,2.633,1.0054
2/1/2019,1316.10,3816.60,2784.49,2.717,1.0015
3/1/2019,1298.50,4102.30,2834.40,2.407,1.0045
4/1/2019,1285.70,5320.80,2945.83,2.504,0.981
5/1/2019,1311.10,8558.30,2752.06,2.133,0.9989
6/1/2019,1413.70,10818.60,2941.76,2.007,1.0242
7/1/2019,1437.80,10082.00,2980.38,2.007,1.0058
8/1/2019,1529.40,9594.40,2926.46,1.499,1.0098
9/1/2019,1472.90,8284.30,2976.74,1.668,1.0018
10/1/2019,1514.80,9152.60,3037.56,1.688,1.0135
11/1/2019,1472.70,7546.60,3140.98,1.774,0.9996
12/1/2019,1523.10,7196.40,3230.78,1.919,1.0328
1/1/2020,1587.90,9349.10,3225.52,1.505,1.038
2/1/2020,1566.70,8543.70,2954.22,1.163,1.0356
3/1/2020,1596.60,6412.50,2584.59,0.668,1.0404
4/1/2020,1694.20,8629.00,2912.43,0.646,1.0356
5/1/2020,1751.70,9454.80,3044.31,0.653,1.04
6/1/2020,1800.50,9135.40,3100.29,0.658,1.0555
7/1/2020,1985.90,11333.40,3271.12,0.533,1.0952
8/1/2020,1978.60,11644.20,3500.31,0.706,1.1063
9/1/2020,1895.50,10776.10,3363.00,0.686,1.0855
10/1/2020,1879.90,13797.30,3269.96,0.874,1.0904
11/1/2020,1780.90,19698.10,3621.63,0.842,1.0997
12/1/2020,1895.10,28949.40,3756.07,0.916,1.1293
1/1/2021,1850.30,33108.10,3714.24,1.071,1.1228
2/1/2021,1728.80,45164.00,3811.15,1.407,1.1006
3/1/2021,1715.60,58763.70,3972.89,1.744,1.0595
4/1/2021,1767.70,57720.30,4181.17,1.626,1.0945
5/1/2021,1905.30,37298.60,4204.11,1.581,1.1116
6/1/2021,1771.60,35026.90,4297.50,1.468,1.0807
7/1/2021,1817.20,41553.70,4395.26,1.226,1.104
8/1/2021,1818.10,47130.40,4522.68,1.307,1.0924
9/1/2021,1757.00,43823.30,4307.54,1.492,1.0731
10/1/2021,1783.90,61309.60,4605.38,1.561,1.0917
11/1/2021,1776.50,56882.90,4567.00,1.456,1.088
12/1/2021,1828.60,46219.50,4766.18,1.512,1.0958
1/1/2022,1796.40,38498.60,4515.55,1.784,1.0782
2/1/2022,1900.70,43188.20,4373.94,1.822,1.0905
3/1/2022,1954.00,45525.00,4530.41,2.345,1.0834
4/1/2022,1911.70,37650.00,4131.93,2.938,1.027
5/1/2022,1848.40,31793.40,4132.15,2.849,1.0421
6/1/2022,1807.30,19926.60,3785.38,3.017,1.0468
7/1/2022,1781.80,23303.40,4130.29,2.658,1.0506
8/1/2022,1726.20,20043.90,3955.00,3.196,1.0228
9/1/2022,1684.90,19423.00,3585.62,3.829,1.013
10/1/2022,1654.90,20496.30,3871.98,4.05,0.9985
11/1/2022,1775.10,17163.90,4080.11,3.611,1.057
12/1/2022,1842.20,16537.40,3839.50,3.879,1.0813
1/1/2023,1962.20,23125.10,4076.60,3.51,1.0912
2/1/2023,1853.20,23130.50,3970.15,3.928,1.061
3/1/2023,2004.10,28473.70,4109.31,3.473,1.0928
4/1/2023,2018.30,29252.10,4169.48,3.433,1.1181
5/1/2023,1982.10,27216.10,4179.83,3.646,1.0978
6/1/2023,1929.40,30472.90,4450.38,3.841,1.1164
7/1/2023,2009.20,29232.40,4588.96,3.967,1.1467
8/1/2023,1965.90,25937.30,4507.66,4.106,1.1319
9/1/2023,1885.40,26962.70,4288.05,4.579,1.0925
10/1/2023,1994.30,34650.60,4193.80,4.926,1.0982
11/1/2023,2038.10,37712.90,4567.80,4.33,1.1422
12/1/2023,2071.80,42272.50,4769.83,3.866,1.1878
1/1/2024,2057.40,42580.50,4845.65,3.918,1.1608
2/1/2024,2054.70,61169.30,5096.27,4.254,1.1302
3/1/2024,2227.10,71332.00,5254.35,4.206,1.1083
4/1/2024,2302.90,60666.60,5035.69,4.682,1.0874
5/1/2024,2333.90,67530.10,5277.51,4.503,1.1083
6/1/2024,2350.90,62754.30,5460.48,4.392,1.1122
7/1/2024,2449.30,64626.00,5522.30,4.033,1.1388
8/1/2024,2516.00,58978.60,5648.40,3.909,1.1759
9/1/2024,2647.90,63339.20,5762.48,3.786,1.1825
10/1/2024,2761.60,70281.80,5705.45,4.281,1.1575
11/1/2024,2681.00,96405.70,6032.38,4.177,1.1351
12/1/2024,2653.30,93557.20,5881.63,4.572,1.102
1/1/2025,2835.00,94536.10,6040.53,4.542,1.0977
2/1/2025,2862.20,84381.20,5954.50,4.202,1.1069
3/1/2025,3135.60,82548.80,5611.85,4.21,1.1308
4/1/2025,3374.70,94184.40,5569.06,4.175,1.2104
5/1/2025,3330.10,104598.00,5911.69,4.418,1.2157
6/1/2025,3322.30,107171.10,6204.95,4.226,1.2609
